prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
10.255.200.0/25,npflan,,npflan,,,Active,Management  Netværk,,Core1 - Access/Wireless Management
10.255.200.128/25,npflan,,npflan,,,Active,Management  Netværk,,Core2 - Acess/Wireless Management
10.255.201.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 1 - Access Management
10.255.202.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 2 - Access Management
10.255.203.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 3 - Access Management
10.255.204.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 4 - Access Management
10.255.205.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 5 - Access Management
10.255.206.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 6 - Access Management
10.255.207.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 7 - Access Management
10.255.208.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 8 - Access Management
10.255.209.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 9 - Access Management
10.255.210.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 10 - Access Management
10.255.211.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 11 - Access Management
10.255.212.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 12 - Access Management
10.255.213.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 13 - Access Management
10.255.214.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist 14 - Access Management
10.255.251.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist E4 - Access Management
10.255.252.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist E3 - Access Management
10.255.253.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist E2 - Access Management
10.255.254.0/24,npflan,,npflan,,,Active,Management  Netværk,,Dist E1 - Access Management
10.255.255.0/24,npflan,,npflan,,,Active,Management  Netværk,,Backbone Management
172.16.16.0/24,npflan,,npflan,npflan-shop,1,Active,Shop,,Shoppen
172.20.0.0/30,npflan,,,,,Active,,,Kube Link Master C1
172.20.0.4/30,npflan,,,,,Active,,,Kube Link Node 1 C1
172.20.0.8/30,npflan,,,,,Active,,,Kube Link Node 2 C1
172.20.1.0/30,npflan,,,,,Active,,,Kube Link Master C2
172.20.1.4/30,npflan,,,,,Active,,,Kube Link Node 1 C2
172.20.1.8/30,npflan,,,,,Active,,,Kube Link Node 2 C2
192.168.0.0/28,npflan,,npflan,,,Active,Link Net,,Core1 - Dist1
192.168.0.16/28,npflan,,npflan,,,Active,Link Net,,Dist1 - Dist2
192.168.0.32/28,npflan,,npflan,,,Active,Link Net,,Dist2 - Dist3
192.168.0.48/28,npflan,,npflan,,,Active,Link Net,,Dist3 - Core2
192.168.0.64/28,npflan,,npflan,,,Active,Link Net,,Core1 - Dist4
192.168.0.80/28,npflan,,npflan,,,Active,Link Net,,Dist4 - Dist5
192.168.0.96/28,npflan,,npflan,,,Active,Link Net,,Dist5 - Dist6
192.168.0.112/28,npflan,,npflan,,,Active,Link Net,,Dist6 - Core2
192.168.0.128/28,npflan,,npflan,,,Active,Link Net,,Core1 - Dist7
192.168.0.144/28,npflan,,npflan,,,Active,Link Net,,Dist7 - Dist8
192.168.0.160/28,npflan,,npflan,,,Active,Link Net,,Dist8 - Dist9
192.168.0.176/28,npflan,,npflan,,,Active,Link Net,,Dist9 - Core2
192.168.0.192/28,npflan,,npflan,,,Active,Link Net,,Core1 - Dist10
192.168.0.208/28,npflan,,npflan,,,Active,Link Net,,Dist10 - Dist11
192.168.0.224/28,npflan,,npflan,,,Active,Link Net,,Dist11 - Dist12
192.168.0.240/28,npflan,,npflan,,,Active,Link Net,,Dist12 - Core2
192.168.1.0/28,npflan,,npflan,,,Active,Link Net,,Core1 - Dist13
192.168.1.16/28,npflan,,npflan,,,Active,Link Net,,Dist13 - Dist14
192.168.1.32/28,npflan,,npflan,,,Active,Link Net,,Dist14 - Core2
192.168.1.48/28,npflan,,npflan,,,Active,Link Net,,(Dist 13 - Dist 15 Opt)
192.168.1.64/28,npflan,,npflan,,,Active,Link Net,,(Dist 15 - Dist 16 Opt)
192.168.1.80/28,npflan,,npflan,,,Active,Link Net,,(Dist 16 - Dist 14 Opt)
192.168.255.0/28,npflan,,npflan,,,Active,Services,,Network Services SAN
192.168.255.112/28,npflan,,npflan,,,Active,Link Net,,E4 - Core2
192.168.255.128/28,npflan,,npflan,,,Active,Link Net,,E3 - E4
192.168.255.144/28,npflan,,npflan,,,Active,Link Net,,E2 - E3
192.168.255.160/28,npflan,,npflan,,,Active,Link Net,,E1 - E2
192.168.255.176/28,npflan,,npflan,,,Active,Link Net,,Core 1 - E1
192.168.255.208/30,npflan,,npflan,,,Active,Link Net,,Core1 - Core2
192.168.255.212/30,npflan,,npflan,,,Active,Link Net,,Core 1 - Core 2
192.168.255.216/30,npflan,,npflan,,,Active,Link Net,,Marketing - C1
192.168.255.220/30,npflan,,npflan,,,Active,,,GRE TUNNEL FROM S7 - E2
192.168.255.224/27,npflan,,npflan,,,Active,Link Net,,S - ring linknets
192.168.255.224/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.228/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.228/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.232/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.232/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.236/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,
192.168.255.240/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,Core1 - S6
192.168.255.244/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,S6 - S3
192.168.255.248/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,S3 - S7
192.168.255.252/30,npflan,,npflan,npflan-vlans,1,Active,Link Net,,S7 - Core2
